audio_file,ground_truth
01_karmangala_tv_fan.wav,"Hello sir, main Koramangala side mein rehta hoon."
02_indiranagar_noise.wav,"Indiranagar se office daily travel karta hoon."
03_whitefield_quiet.wav,"Whitefield alli traffic tumba jaasti tha today."
04_electroniccity_fast.wav,"Electronic City side delivery job ide kya?"
05_marthahalli_whisper.wav,"Main Marathahalli mein PG dhund raha hoon."
06_jayanagar_fast.wav,"Jayanagar alli friend ke saath iddini."
07_rajajinagar_hinglish.wav,"Rajajinagar side ka opening available hai kya?"
08_hebbal_casual.wav,"Hebbal flyover ke paas abhi khada hoon."
09_yelahanka_customercall.wav,"Yelahanka se call maadthidini sir."
10_banashankari.wav,"Banashankari side room rent kam hai kya?"
11_hsrlayout_kanglish.wav,"HSR Layout alli delivery maadakke interest ide."
12_btmlayout.wav,"BTM Layout mein night shift chalega."
13_majestic_whisper.wav,"Main abhi Majestic bus stand ke paas hoon."
14_silkboard_traffic.wav,"Silk Board traffic mein phas gaya sir."
15_bellandur_casual.wav,"Bellandur side job location convenient hai."
16_sarjapur_noise.wav,"Sarjapur road pe daily travel maadthini."
17_bommanahalli_far.wav,"Bommanahalli mein warehouse ide kya?"
18_krpuram_quite.wav,"KR Puram se metro use karta hoon."
19_peenya_casual.wav,"Peenya industrial area mein experience hai."
20_yeshwanthpur_slow.wav,"Yeshwanthpur alli part-time work beku."
21_kormangala2_clear.ogg,"Hello sir, main Koramangala side mein rehta hoon."
